Year,Quarter,Value
2009,Q1,2357
2009,Q2,2616
2009,Q3,2666
2009,Q4,2711
2010,Q1,2630
2010,Q2,3168
2010,Q3,3192
2010,Q4,3114
2011,Q1,3103
2011,Q2,4136
2011,Q3,4311
2011,Q4,4108
2012,Q1,3991
2012,Q2,4616
2012,Q3,4309
2012,Q4,4172
2013,Q1,4084
2013,Q2,4643
2013,Q3,4545
2013,Q4,4427
2014,Q1,4166
2014,Q2,5011
2014,Q3,4800
2014,Q4,4628
2015,Q1,4414
2015,Q2,5111
2015,Q3,5318
2015,Q4,4977
2016,Q1,4826
2016,Q2,5384
2016,Q3,5139
2016,Q4,4940
2017,Q1,4854
2017,Q2,5731
2017,Q3,5303
2017,Q4,5258
2018,Q1,4944
2018,Q2,5742
2018,Q3,5575
2018,Q4,5704
2019,Q1,5149
2019,Q2,5909
2019,Q3,5639
2019,Q4,5731
2019,Q1,4234
2020,Q2,1008
2020,Q3,1793
2020,Q4,2013
2021,Q1,2052
2021,Q2,4008
2021,Q3,4679
2021,Q4,5051
2022,Q1,4694
2022,Q2,6728
2022,Q3,6220
2022,Q4,6172
2023,Q1,5706
2023,Q2,7037
2023,Q3,6525
